NIS code;Woonplaats;Mannen;Vrouwen;Totaal
63072;Spa;4781;5109;9890
63073;Stavelot;3663;3584;7247
63075;Stoumont;1583;1607;3190
63076;Theux;5875;6097;11972
63079;Verviers;26862;28294;55156
63080;Weismes;3824;3718;7542
63084;Welkenraedt;5156;5359;10515
63086;Trois-Ponts;1261;1256;2517
63087;Burg-Reuland;2025;1949;3974
63088;Plombières;5328;5417;10745
63089;Thimister-Clermont;2832;2820;5652
64000;Arrondissement Borgworm;41033;42796;83829
64008;Berloz;1670;1666;3336
64015;Braives;3237;3247;6484
64021;Crisnée;1767;1773;3540
64023;Donceel;1584;1560;3144
64025;Fexhe-le-Haut-Clocher;1710;1719;3429
64029;Geer;1765;1794;3559
64034;Hannuit;8256;8770;17026
64047;Lijsem;1656;1695;3351
64056;Oerle;1954;2071;4025
64063;Remicourt;2964;3098;6062
64065;Saint-Georges-sur-Meuse;3525;3670;7195
64074;Borgworm;7326;8129;15455
64075;Wasseiges;1555;1589;3144
64076;Faimes;2064;2015;4079
70000;Provincie Limburg;445322;449708;895030
71000;Arrondissement Hasselt;212345;216267;428612
71002;As;4047;4167;8214
71004;Beringen;23972;23923;47895
71011;Diepenbeek;9677;9746;19423
71016;Genk;33389;34184;67573
71017;Gingelom;4346;4324;8670
71020;Halen;4785;4772;9557
71022;Hasselt;39273;41078;80351
71024;Herk-de-Stad;6345;6472;12817
71034;Leopoldsburg;8222;8185;16407
71037;Lummen;7772;7594;15366
71045;Nieuwerkerken (Hasselt);3510;3680;7190
71053;Sint-Truiden;20409;20944;41353
71057;Tessenderlo;9341;9497;18838
71066;Zonhoven;10715;10938;21653
71067;Zutendaal;3706;3639;7345
71069;Ham;5663;5674;11337
71070;Heusden-Zolder;17173;17450;34623
72000;Arrondissement Maaseik;128939;128454;257393
72003;Bocholt;6897;6846;13743
72004;Bree;8279;8416;16695
72018;Kinrooi;6215;6115;12330
72020;Lommel;17465;17361;34826
72021;Maaseik;12817;12920;25737
72030;Peer;8294;8240;16534
72037;Hamont-Achel;7317;7141;14458
72038;Hechtel-Eksel;6559;6355;12914
72039;Houthalen-Helchteren;15458;15502;30960
72041;Dilsen-Stokkem;10592;10713;21305
72042;Oudsbergen;11981;11810;23791
72043;Pelt;17065;17035;34100
73000;Arrondissement Tongeren;104038;104987;209025
73001;Alken;5888;5951;11839
73006;Bilzen;16117;16527;32644
73009;Borgloon;5702;5753;11455
73022;Heers;3769;3785;7554
73028;Herstappe;41;36;77
73032;Hoeselt;4951;4970;9921
73040;Kortessem;4352;4374;8726
73042;Lanaken;13212;13058;26270
73066;Riemst;8444;8406;16850
73083;Tongeren;15757;16158;31915
73098;Wellen;3733;3740;7473
73107;Maasmechelen;19890;20024;39914
73109;Voeren;2182;2205;4387
80000;Provincie Luxemburg;146295;147672;293967
81000;Arrondissement Aarlen;32350;32719;65069
81001;Aarlen;15557;15665;31222
81003;Attert;2870;2860;5730
81004;Aubange;8734;8918;17652
81013;Martelange;997;1006;2003
81015;Messancy;4192;4270;8462
82000;Arrondissement Bastenaken;25265;25220;50485
82003;Bastenaken;8325;8460;16785
82005;Bertogne;1890;1849;3739
82009;Fauvillers;1224;1211;2435
82014;Houffalize;2726;2566;5292
82032;Vielsalm;3955;3987;7942
82036;Vaux-sur-Sûre;3049;3094;6143
82037;Gouvy;2752;2731;5483
82038;Sainte-Ode;1344;1322;2666
83000;Arrondissement Marche-en-Famenne;28740;28840;57580
83012;Durbuy;5733;5774;11507
83013;Erezée;1676;1658;3334
83028;Hotton;2835;2887;5722
83031;La Roche-en-Ardenne;2076;2085;4161
83034;Marche-en-Famenne;8759;9138;17897
83040;Nassogne;2933;2762;5695
83044;Rendeux;1369;1310;2679
83049;Tenneville;1445;1437;2882
83055;Manhay;1914;1789;3703
84000;Arrondissement Neufchâteau;32734;32921;65655
84009;Bertrix;4426;4568;8994
84010;Bouillon;2693;2707;5400
84016;Daverdisse;704;711;1415
84029;Herbeumont;886;842;1728
84033;Léglise;2949;2797;5746
84035;Libin;2700;2681;5381
84043;Neufchâteau (Neufchâteau);4080;4106;8186
84050;Paliseul;2746;2769;5515
84059;Saint-Hubert;2838;2903;5741
84068;Tellin;1241;1282;2523
84075;Wellin;1573;1613;3186
84077;Libramont-Chevigny;5898;5942;11840
85000;Arrondissement Virton;27206;27972;55178
85007;Chiny;2636;2638;5274
85009;Etalle;3004;3059;6063
85011;Florenville;2865;2973;5838
85024;Meix-devant-Virton;1382;1436;2818
85026;Musson;2289;2386;4675
85034;Saint-Léger (Virton);1838;1904;3742
85039;Tintigny;2266;2246;4512
85045;Virton;5589;5827;11416
85046;Habay;4288;4411;8699
85047;Rouvroy;1049;1092;2141
90000;Provincie Namen;246376;255885;502261
91000;Arrondissement Dinant;55787;57203;112990
91005;Anhée;3553;3646;7199
91013;Beauraing;4589;4871;9460
91015;Bièvre;1735;1736;3471
91030;Ciney;8231;8872;17103
91034;Dinant;6516;6780;13296
91054;Gedinne;2350;2336;4686
91059;Hamois;3752;3776;7528
91064;Havelange;2608;2706;5314
